area_name,category,specialty,providers_count,providers_per_100k,investment_score,risk_score,supply_gap,competition_level,data_confidence_score,reason
Maarif,Dental Clinic,dentist,4,2.9,54.0,45.4,57.4,Low,53.5,"HCP 2024 population 139,669; OSM providers 4; confidence 53.5/100"
Ben M'Sick,Dental Clinic,dentist,0,0.0,53.0,50.9,66.0,Low,32.1,"HCP 2024 population 105,612; OSM providers 0; confidence 32.1/100"
Sidi Moumen,Dental Clinic,dentist,0,0.0,52.3,53.1,66.0,Low,32.1,"HCP 2024 population 551,443; OSM providers 0; confidence 32.1/100"
Moulay Rachid,Dental Clinic,dentist,0,0.0,52.2,50.9,66.0,Low,32.1,"HCP 2024 population 245,139; OSM providers 0; confidence 32.1/100"
Sidi Othmane,Dental Clinic,dentist,0,0.0,51.0,51.4,66.0,Low,32.1,"HCP 2024 population 211,894; OSM providers 0; confidence 32.1/100"
Al Fida,Dental Clinic,dentist,2,1.6,49.9,50.6,63.9,Low,46.4,"HCP 2024 population 125,933; OSM providers 2; confidence 46.4/100"
Sidi Bernoussi,Dental Clinic,dentist,2,1.3,49.8,47.5,65.7,Low,46.4,"HCP 2024 population 154,919; OSM providers 2; confidence 46.4/100"
Mers Sultan,Dental Clinic,dentist,1,1.0,49.7,53.1,64.7,Low,39.2,"HCP 2024 population 98,139; OSM providers 1; confidence 39.2/100"
Anfa,Dental Clinic,dentist,2,3.0,49.5,52.9,55.8,Low,46.4,"HCP 2024 population 66,202; OSM providers 2; confidence 46.4/100"
Roches Noires,Dental Clinic,dentist,0,0.0,48.9,53.2,66.0,Low,32.1,"HCP 2024 population 104,775; OSM providers 0; confidence 32.1/100"
Sbata,Dental Clinic,dentist,0,0.0,48.8,50.9,66.0,Low,32.1,"HCP 2024 population 101,640; OSM providers 0; confidence 32.1/100"
Ain Chock,Dental Clinic,dentist,6,1.6,48.6,58.3,66.0,Low,53.5,"HCP 2024 population 374,707; OSM providers 6; confidence 53.5/100"
Hay Mohammadi,Dental Clinic,dentist,0,0.0,48.3,52.1,66.0,Low,32.1,"HCP 2024 population 104,232; OSM providers 0; confidence 32.1/100"
Hay Hassani,Dental Clinic,dentist,13,2.4,46.8,60.6,60.7,Low,53.5,"HCP 2024 population 537,509; OSM providers 13; confidence 53.5/100"
Ain Sebaa,Dental Clinic,dentist,0,0.0,46.5,56.9,66.0,Low,32.1,"HCP 2024 population 155,828; OSM providers 0; confidence 32.1/100"
Sidi Belyout,Dental Clinic,dentist,10,7.2,35.7,60.1,10.0,Medium,53.5,"HCP 2024 population 138,294; OSM providers 10; confidence 53.5/100"
Anfa,Dermatology Cabinet,doctor,1,1.5,55.6,54.9,64.5,Low,36.3,"HCP 2024 population 66,202; OSM providers 1; confidence 36.3/100"
Hay Hassani,Dermatology Cabinet,doctor,7,1.3,54.6,48.6,70.4,Low,49.5,"HCP 2024 population 537,509; OSM providers 7; confidence 49.5/100"
Sidi Belyout,Dermatology Cabinet,doctor,8,5.8,52.7,51.4,55.6,Low,49.5,"HCP 2024 population 138,294; OSM providers 8; confidence 49.5/100"
Ben M'Sick,Dermatology Cabinet,doctor,0,0.0,51.2,52.7,64.8,Low,29.7,"HCP 2024 population 105,612; OSM providers 0; confidence 29.7/100"
Ain Chock,Dermatology Cabinet,doctor,4,1.1,51.0,56.6,71.1,Low,49.5,"HCP 2024 population 374,707; OSM providers 4; confidence 49.5/100"
Roches Noires,Dermatology Cabinet,doctor,0,0.0,50.2,54.2,64.8,Low,29.7,"HCP 2024 population 104,775; OSM providers 0; confidence 29.7/100"
