sector,sector_label_fr,area_id,area_name,prefecture,providers_count,providers_per_100k,competition_level,average_confidence,population_est,population_density,purchasing_power_proxy,population_score,density_score,purchasing_power_score,demand_score,low_competition_score,supply_gap,sector_opportunity_score,risk_score,scoring_status,weights_version,assigned_pois_sector,total_pois_sector
education,éducation,casablanca_hay_hassani,Hay Hassani,Hay Hassani,77,14.325341529165092,Modérée,0.65,537509,13203.4,50,97.1,30.3,40.0,60.4,82.4,82.4,65.2,52.7,scored,sector_weights_v1,484,519
education,éducation,casablanca_sidi_moumen,Sidi Moumen,Sidi Bernoussi,35,6.346984185128835,Modérée,0.65,551443,21402.0,30,100.0,57.0,0.0,54.2,97.0,97.0,60.6,45.8,scored,sector_weights_v1,484,519
education,éducation,casablanca_ain_chock,Ain Chock,Ain Chock,56,14.945010368100942,Modérée,0.65,374707,9500.2,55,63.6,18.2,50.0,47.5,81.3,81.3,58.5,47.8,scored,sector_weights_v1,484,519
education,éducation,casablanca_moulay_rachid,Moulay Rachid,Moulay Rachid,17,6.934841049363831,Modérée,0.65,245139,34585.1,35,36.9,100.0,10.0,43.3,96.0,96.0,53.4,41.4,scored,sector_weights_v1,484,519
education,éducation,casablanca_sidi_othmane,Sidi Othmane,Moulay Rachid,10,4.71934080247671,Faible,0.65,211894,33870.5,35,30.0,97.7,10.0,39.9,100.0,100.0,52.4,40.0,scored,sector_weights_v1,484,519
education,éducation,casablanca_sidi_belyout,Sidi Belyout,Casablanca-Anfa,43,31.09317830130013,Élevée,0.65,138294,13519.8,70,14.9,31.3,80.0,41.8,51.8,51.8,50.3,41.4,scored,sector_weights_v1,484,519
education,éducation,casablanca_roches_noires,Roches Noires,Ain Sebaa-Hay Mohammadi,6,5.72655690765927,Faible,0.65,104775,14243.5,50,7.9,33.7,40.0,25.6,98.2,98.2,48.0,38.3,scored,sector_weights_v1,484,519
education,éducation,casablanca_mers_sultan,Mers Sultan,Al Fida-Mers Sultan,18,18.341332192094885,Modérée,0.65,98139,26559.9,50,6.6,73.8,40.0,35.1,75.1,75.1,47.0,39.9,scored,sector_weights_v1,484,519
education,éducation,casablanca_al_fida,Al Fida,Al Fida-Mers Sultan,21,16.67553381560036,Modérée,0.65,125933,33166.4,40,12.3,95.4,20.0,35.8,78.1,78.1,45.6,43.1,scored,sector_weights_v1,484,519
education,éducation,casablanca_ben_msick,Ben M'Sick,Ben M'Sick,12,11.362345188046813,Modérée,0.65,105612,33958.8,35,8.1,98.0,10.0,31.2,87.9,87.9,44.3,42.5,scored,sector_weights_v1,484,519
education,éducation,casablanca_ain_sebaa,Ain Sebaa,Ain Sebaa-Hay Mohammadi,21,13.476397053161177,Modérée,0.65,155828,10014.0,45,18.5,19.9,30.0,22.9,84.0,84.0,42.5,44.7,scored,sector_weights_v1,484,519
education,éducation,casablanca_hay_mohammadi,Hay Mohammadi,Ain Sebaa-Hay Mohammadi,9,8.634584388671426,Modérée,0.65,104232,25055.8,35,7.8,68.9,10.0,23.8,92.8,92.8,41.9,43.2,scored,sector_weights_v1,484,519
education,éducation,casablanca_anfa,Anfa,Casablanca-Anfa,34,51.35796501616266,Élevée,0.65,66202,3914.3,80,0.0,0.0,100.0,35.0,14.7,14.7,40.0,37.7,scored,sector_weights_v1,484,519
