sector,sector_label_fr,subcategory,subcategory_label_fr,area_id,area_name,prefecture,providers_count,providers_per_100k,competition_rate_smoothed,competition_level,average_confidence,population_est,population_density,purchasing_power_proxy,population_score,density_score,purchasing_power_score,demand_score,low_competition_score,supply_gap,sector_opportunity_score,risk_score,scoring_status,weights_version,assigned_pois_subcategory,total_pois_subcategory,assigned_pois_sector,total_pois_sector
education,éducation,driving_school,auto-école,casablanca_hay_hassani,Hay Hassani,Hay Hassani,0,0.0,0.0,Faible,0.358,537509,13203.4,50,97.1,30.3,40.0,60.4,50.0,50.0,41.3,55.7,scored_subcategory,subcategory_weights_v2_bayes,0,0,484,519
education,éducation,driving_school,auto-école,casablanca_maarif,Maarif,Casablanca-Anfa,0,0.0,0.0,Faible,0.358,139669,11263.6,75,15.1,24.0,90.0,43.5,50.0,50.0,39.3,53.4,scored_subcategory,subcategory_weights_v2_bayes,0,0,484,519
education,éducation,driving_school,auto-école,casablanca_sidi_belyout,Sidi Belyout,Casablanca-Anfa,0,0.0,0.0,Faible,0.358,138294,13519.8,70,14.9,31.3,80.0,41.8,50.0,50.0,37.9,55.0,scored_subcategory,subcategory_weights_v2_bayes,0,0,484,519
education,éducation,driving_school,auto-école,casablanca_sidi_moumen,Sidi Moumen,Sidi Bernoussi,0,0.0,0.0,Faible,0.358,551443,21402.0,30,100.0,57.0,0.0,54.2,50.0,50.0,36.0,61.9,scored_subcategory,subcategory_weights_v2_bayes,0,0,484,519
education,éducation,driving_school,auto-école,casablanca_moulay_rachid,Moulay Rachid,Moulay Rachid,0,0.0,0.0,Faible,0.358,245139,34585.1,35,36.9,100.0,10.0,43.3,50.0,50.0,36.0,63.1,scored_subcategory,subcategory_weights_v2_bayes,0,0,484,519
education,éducation,driving_school,auto-école,casablanca_ain_chock,Ain Chock,Ain Chock,0,0.0,0.0,Faible,0.358,374707,9500.2,55,63.6,18.2,50.0,47.5,50.0,50.0,35.7,57.4,scored_subcategory,subcategory_weights_v2_bayes,0,0,484,519
education,éducation,driving_school,auto-école,casablanca_anfa,Anfa,Casablanca-Anfa,0,0.0,0.0,Faible,0.358,66202,3914.3,80,0.0,0.0,100.0,35.0,50.0,50.0,34.6,54.1,scored_subcategory,subcategory_weights_v2_bayes,0,0,484,519
education,éducation,driving_school,auto-école,casablanca_sidi_othmane,Sidi Othmane,Moulay Rachid,0,0.0,0.0,Faible,0.358,211894,33870.5,35,30.0,97.7,10.0,39.9,50.0,50.0,34.3,63.8,scored_subcategory,subcategory_weights_v2_bayes,0,0,484,519
education,éducation,driving_school,auto-école,casablanca_mers_sultan,Mers Sultan,Al Fida-Mers Sultan,0,0.0,0.0,Faible,0.358,98139,26559.9,50,6.6,73.8,40.0,35.1,50.0,50.0,33.7,61.3,scored_subcategory,subcategory_weights_v2_bayes,0,0,484,519
education,éducation,driving_school,auto-école,casablanca_al_fida,Al Fida,Al Fida-Mers Sultan,0,0.0,0.0,Faible,0.358,125933,33166.4,40,12.3,95.4,20.0,35.8,50.0,50.0,33.5,63.5,scored_subcategory,subcategory_weights_v2_bayes,0,0,484,519
education,éducation,driving_school,auto-école,casablanca_ben_msick,Ben M'Sick,Ben M'Sick,0,0.0,0.0,Faible,0.358,105612,33958.8,35,8.1,98.0,10.0,31.2,50.0,50.0,30.4,65.8,scored_subcategory,subcategory_weights_v2_bayes,0,0,484,519
education,éducation,driving_school,auto-école,casablanca_roches_noires,Roches Noires,Ain Sebaa-Hay Mohammadi,0,0.0,0.0,Faible,0.358,104775,14243.5,50,7.9,33.7,40.0,25.6,50.0,50.0,25.9,63.4,scored_subcategory,subcategory_weights_v2_bayes,0,0,484,519
education,éducation,driving_school,auto-école,casablanca_hay_mohammadi,Hay Mohammadi,Ain Sebaa-Hay Mohammadi,0,0.0,0.0,Faible,0.358,104232,25055.8,35,7.8,68.9,10.0,23.8,50.0,50.0,24.6,67.4,scored_subcategory,subcategory_weights_v2_bayes,0,0,484,519
