area_id,area_name,prefecture,hcp_code,population_est,population_year,households,area_km2,population_density,purchasing_power_proxy,purchasing_power_confidence,population_source,population_source_url,boundary_source,lat_min,lat_max,lon_min,lon_max,public_primary_care_count,public_hospital_count
casablanca_anfa,Anfa,Casablanca-Anfa,61410101,66202,2024,22331,16.913,3914.3,80,0.35,HCP RGPH 2024,https://www.hcp.ma/file/242341/,OpenStreetMap / Nominatim,33.5458518,33.6159371,-7.751238,-7.6360212,3,0
casablanca_maarif,Maarif,Casablanca-Anfa,61410103,139669,2024,51113,12.4,11263.6,75,0.35,HCP RGPH 2024,https://www.hcp.ma/file/242341/,OpenStreetMap / Nominatim,33.5490155,33.5910276,-7.6614974,-7.6106596,8,3
casablanca_sidi_belyout,Sidi Belyout,Casablanca-Anfa,61410107,138294,2024,47055,10.229,13519.8,70,0.35,HCP RGPH 2024,https://www.hcp.ma/file/242341/,OpenStreetMap / Nominatim,33.5826813,33.6205339,-7.6399137,-7.5797633,5,1
casablanca_al_fida,Al Fida,Al Fida-Mers Sultan,61410111,125933,2024,35993,3.797,33166.4,40,0.35,HCP RGPH 2024,https://www.hcp.ma/file/242341/,OpenStreetMap / Nominatim,33.5560188,33.5730065,-7.6122539,-7.5743811,8,1
casablanca_mers_sultan,Mers Sultan,Al Fida-Mers Sultan,61410113,98139,2024,30509,3.695,26559.9,50,0.35,HCP RGPH 2024,https://www.hcp.ma/file/242341/,OpenStreetMap / Nominatim,33.56326,33.5900036,-7.6154774,-7.5798569,5,0
casablanca_hay_mohammadi,Hay Mohammadi,Ain Sebaa-Hay Mohammadi,61410125,104232,2024,28469,4.16,25055.8,35,0.35,HCP RGPH 2024,https://www.hcp.ma/file/242341/,OpenStreetMap / Nominatim,33.578618,33.6003939,-7.5857325,-7.5425221,9,1
casablanca_roches_noires,Roches Noires,Ain Sebaa-Hay Mohammadi,61410123,104775,2024,32260,7.356,14243.5,50,0.35,HCP RGPH 2024,https://www.hcp.ma/file/242341/,OpenStreetMap / Nominatim,33.5680004,33.6046173,-7.6036508,-7.5556167,3,0
casablanca_ain_sebaa,Ain Sebaa,Ain Sebaa-Hay Mohammadi,61410121,155828,2024,40875,15.561,10014.0,45,0.35,HCP RGPH 2024,https://www.hcp.ma/file/242341/,OpenStreetMap / Nominatim,33.5854825,33.6253225,-7.5806844,-7.5077822,3,0
casablanca_hay_hassani,Hay Hassani,Hay Hassani,61410131,537509,2024,157634,40.71,13203.4,50,0.35,HCP RGPH 2024,https://www.hcp.ma/file/242341/,OpenStreetMap / Nominatim,33.5064658,33.5822811,-7.7315537,-7.6427062,16,1
casablanca_ain_chock,Ain Chock,Ain Chock,61410141,374707,2024,102598,39.442,9500.2,55,0.35,HCP RGPH 2024,https://www.hcp.ma/file/242341/,OpenStreetMap / Nominatim,33.493342,33.559475,-7.672941,-7.5660997,13,2
casablanca_sidi_bernoussi,Sidi Bernoussi,Sidi Bernoussi,61410151,154919,2024,42626,12.616,12279.6,40,0.35,HCP RGPH 2024,https://www.hcp.ma/file/242341/,OpenStreetMap / Nominatim,33.6008899,33.6409103,-7.5290518,-7.4730661,4,1
casablanca_sidi_moumen,Sidi Moumen,Sidi Bernoussi,61410153,551443,2024,142020,25.766,21402.0,30,0.35,HCP RGPH 2024,https://www.hcp.ma/file/242341/,OpenStreetMap / Nominatim,33.562084,33.6246229,-7.5556167,-7.4574165,11,1
casablanca_ben_msick,Ben M'Sick,Ben M'Sick,61410161,105612,2024,29445,3.11,33958.8,35,0.35,HCP RGPH 2024,https://www.hcp.ma/file/242341/,OpenStreetMap / Nominatim,33.5432588,33.5658728,-7.5943424,-7.5683294,5,1
casablanca_sbata,Sbata,Ben M'Sick,61410163,101640,2024,26764,7.166,14183.6,40,0.35,HCP RGPH 2024,https://www.hcp.ma/file/242341/,OpenStreetMap / Nominatim,33.5202986,33.5509942,-7.5813495,-7.5331532,4,0
casablanca_moulay_rachid,Moulay Rachid,Moulay Rachid,61410171,245139,2024,63294,7.088,34585.1,35,0.35,HCP RGPH 2024,https://www.hcp.ma/file/242341/,OpenStreetMap / Nominatim,33.5513676,33.578618,-7.5639071,-7.5146228,10,0
casablanca_sidi_othmane,Sidi Othmane,Moulay Rachid,61410173,211894,2024,56242,6.256,33870.5,35,0.35,HCP RGPH 2024,https://www.hcp.ma/file/242341/,OpenStreetMap / Nominatim,33.5392146,33.5739384,-7.5782328,-7.5428169,10,1
