id,name,name_fr,name_ar,sector,category,sub_category,address,lat,lon,phone,website,opening_hours,operator,brand,source,source_type,source_url,confidence_score,is_verified,osm_amenity,osm_shop
osm_node_257474936,,,,education,university,,,33.5806507,-7.5936521,,,,,,OSM,osm,https://www.openstreetmap.org/node/257474936,0.65,False,college,
osm_node_626129998,Ibno Abdou Rabih,,,education,school,,,33.6129183,-7.5498942,,,,,,OSM,osm,https://www.openstreetmap.org/node/626129998,0.65,False,school,
osm_node_1184211982,chefchaouni الشفشاوني,chefchaouni,الشفشاوني,education,school,,Boulevard Chefchaouni,33.611407,-7.5321537,,,,,,OSM,osm,https://www.openstreetmap.org/node/1184211982,0.65,False,school,
osm_node_1184211992,idriss 2 إدريس الثاني,idriss 2,إدريس الثاني,education,school,,Boulevard Chefchaouni,33.6110764,-7.5327438,,,,,,OSM,osm,https://www.openstreetmap.org/node/1184211992,0.65,False,school,
osm_node_1184212200,ثانوية ابن العوام,,ثانوية ابن العوام,education,school,,,33.6131761,-7.5348037,,,,,,OSM,osm,https://www.openstreetmap.org/node/1184212200,0.65,False,school,
osm_node_1284530339,Ecole Madania,,,education,school,,,33.5816989,-7.6086159,,,,,,OSM,osm,https://www.openstreetmap.org/node/1284530339,0.65,False,school,
osm_node_1284530342,Ecole La Residence,,,education,school,,,33.5814397,-7.6079507,,,,,,OSM,osm,https://www.openstreetmap.org/node/1284530342,0.65,False,school,
osm_node_1307904330,melouia,,,education,school,,,33.5584237,-7.6888665,,,,,,OSM,osm,https://www.openstreetmap.org/node/1307904330,0.65,False,school,
osm_node_1307904336,ouad el makhazin,,,education,school,,,33.559311,-7.6898538,,,,,,OSM,osm,https://www.openstreetmap.org/node/1307904336,0.65,False,school,
osm_node_1926947271,George Washington Academy,,,education,school,,,33.5528661,-7.7252133,,,,,,OSM,osm,https://www.openstreetmap.org/node/1926947271,0.65,False,school,
osm_node_2378025797,Othmane Ibn Affane,,,education,school,,,33.5166241,-7.6506225,,,,,,OSM,osm,https://www.openstreetmap.org/node/2378025797,0.65,False,school,
osm_node_2582305781,Lycée oum el banine,,,education,school,,,33.5594424,-7.606326,,,,,,OSM,osm,https://www.openstreetmap.org/node/2582305781,0.65,False,school,
osm_node_2582305782,Collège,,,education,school,,,33.5598965,-7.6052049,,,,,,OSM,osm,https://www.openstreetmap.org/node/2582305782,0.65,False,school,
osm_node_2582305784,Lycée El Bakilani,,,education,school,,,33.558815,-7.6023179,,,,,,OSM,osm,https://www.openstreetmap.org/node/2582305784,0.65,False,school,
osm_node_2582305785,École primaire Boujdour,,,education,school,,,33.558923,-7.6014753,,,,,,OSM,osm,https://www.openstreetmap.org/node/2582305785,0.65,False,school,
osm_node_2640314838,Les Poussins,,,education,kindergarten,,Rue Al Imam Attabarani زنقة الإمام الطبراني,33.5843039,-7.6418978,,,,,,OSM,osm,https://www.openstreetmap.org/node/2640314838,0.65,False,kindergarten,
osm_node_2643927889,Art'com Sup,,,education,school,,,33.5916192,-7.6261076,,,,,,OSM,osm,https://www.openstreetmap.org/node/2643927889,0.65,False,school,
osm_node_2711741028,Ecole Barhoumy,,,education,school,,,33.5794165,-7.6376429,,,,,,OSM,osm,https://www.openstreetmap.org/node/2711741028,0.65,False,school,
osm_node_2714778062,Groupe scolaire Elouatki Kaoukabi. Collège lycée Sabrine,,,education,school,,lotissement Ouba,33.5756546,-7.6797542,,,,,,OSM,osm,https://www.openstreetmap.org/node/2714778062,0.65,False,school,
osm_node_2714785480,Maternelle-Primaire Elouatki Kaoukabi,,,education,school,,rue 3 lots Wakanati,33.577175,-7.6793365,,,,,,OSM,osm,https://www.openstreetmap.org/node/2714785480,0.65,False,school,
osm_node_2789431453,Collège Iman El Jazouli,,,education,school,,,33.556999,-7.6799189,,,,,,OSM,osm,https://www.openstreetmap.org/node/2789431453,0.65,False,school,
osm_node_2874898043,Groupe Scolaire El Farabi II,,,education,school,,,33.5977896,-7.6327744,,,,,,OSM,osm,https://www.openstreetmap.org/node/2874898043,0.65,False,school,
osm_node_2892400981,ENCG Casablanca,,,education,university,,,33.5939556,-7.5302155,,,,,,OSM,osm,https://www.openstreetmap.org/node/2892400981,0.65,False,college,
osm_node_2895214168,Marhaba,,,education,school,,,33.6009689,-7.6328984,,,,,,OSM,osm,https://www.openstreetmap.org/node/2895214168,0.65,False,driving_school,
osm_node_2902579298,institut de formation de carrière de santé,,,education,university,,,33.5761747,-7.6254293,,,,,,OSM,osm,https://www.openstreetmap.org/node/2902579298,0.65,False,college,
osm_node_2935934501,Groupe Scolaire Les Jumeaux,,,education,school,,Avenue Mers Sultan,33.5851823,-7.6160114,,,,,,OSM,osm,https://www.openstreetmap.org/node/2935934501,0.65,False,school,
osm_node_3207309397,Auto-école Raki Barka,,,education,school,,,33.5932793,-7.6224466,,,,,,OSM,osm,https://www.openstreetmap.org/node/3207309397,0.65,False,driving_school,
osm_node_3214364732,Acadamie Arts Traditionels,,,education,school,,,33.605547,-7.6302459,,,,,,OSM,osm,https://www.openstreetmap.org/node/3214364732,0.65,False,school,
osm_node_3346775601,École Supérieure en Ingénierie de l'Information de Télécommunication Management et Bâtiment,,,education,school,,Rue Moussa Bnou Noussair زنقة موسى بن نصير,33.5911322,-7.6276619,,,,,,OSM,osm,https://www.openstreetmap.org/node/3346775601,0.65,False,college,
osm_node_3639395834,Ecole Almadina Ain Sbaa,,,education,school,,,33.6032963,-7.5262885,,,,,,OSM,osm,https://www.openstreetmap.org/node/3639395834,0.65,False,school,
osm_node_3788381531,Institut Spécialisé du Bâtiment,,,education,school,,,33.5807419,-7.5914928,,,,,,OSM,osm,https://www.openstreetmap.org/node/3788381531,0.65,False,school,
osm_node_3788381532,Office de la Formation Professionnelle et de la Promotion du Travail مكتب التكوين المهني وإنعاش الشغل,Office de la Formation Professionnelle et de la Promotion du Travail,مكتب التكوين المهني وإنعاش الشغل,education,school,,,33.5802895,-7.5907064,,,,,,OSM,osm,https://www.openstreetmap.org/node/3788381532,0.65,False,school,
osm_node_3957433753,Kenzi,,,education,kindergarten,,,33.5938171,-7.647996,,,,,,OSM,osm,https://www.openstreetmap.org/node/3957433753,0.65,False,kindergarten,
osm_node_3958744374,CODA Casablanca Music Center,,,education,school,,,33.5507156,-7.6343969,,,,,,OSM,osm,https://www.openstreetmap.org/node/3958744374,0.65,False,school,
osm_node_4193621892,ISTA Hay Hassani 2,,,education,school,,,33.5742611,-7.6769945,,,,,,OSM,osm,https://www.openstreetmap.org/node/4193621892,0.65,False,school,
osm_node_4193624098,École Ibno Hamdise,,,education,school,,,33.5742723,-7.6734501,,,,,,OSM,osm,https://www.openstreetmap.org/node/4193624098,0.65,False,school,
osm_node_4193624493,École Al Akhtal,,,education,school,,,33.5711707,-7.6759597,,,,,,OSM,osm,https://www.openstreetmap.org/node/4193624493,0.65,False,school,
osm_node_4193870339,Best Institut,,,education,school,,,33.5949543,-7.6176097,,,,,,OSM,osm,https://www.openstreetmap.org/node/4193870339,0.65,False,school,
osm_node_4193901867,Goethe Institut Casablanca,,,education,school,,Place du 16 Novembre,33.5946264,-7.616552,+212 5 22 20 04 45,https://www.goethe.de/ins/ma/de/index.html,,,,OSM,osm,https://www.openstreetmap.org/node/4193901867,0.65,False,language_school,
osm_node_4193937770,Institut Central de Formation,,,education,university,,Boulevard Mohammed V شارع محمد الخامس,33.5952167,-7.6151287,+212 5 22 22 17 59,https://icf-maroc.com/,,,,OSM,osm,https://www.openstreetmap.org/node/4193937770,0.65,False,college,
osm_node_4202641898,École Al Fajr,,,education,school,,Zanqat 12,33.5655887,-7.6743337,,,,,,OSM,osm,https://www.openstreetmap.org/node/4202641898,0.65,False,school,
osm_node_4346009691,Groupe scolaire al isbah,,,education,school,,,33.6038997,-7.4896686,,,,,,OSM,osm,https://www.openstreetmap.org/node/4346009691,0.65,False,school,
osm_node_4392185372,Al Mitak,,,education,school,,,33.6005961,-7.6357649,,,,,,OSM,osm,https://www.openstreetmap.org/node/4392185372,0.65,False,school,
osm_node_4394144992,Groupe Scolaire Riad مجموعة مدارس الرياض,Groupe Scolaire Riad,مجموعة مدارس الرياض,education,school,,Route de Taddart,33.5290906,-7.6169149,,,,,,OSM,osm,https://www.openstreetmap.org/node/4394144992,0.65,False,school,
osm_node_4441375289,Auto école Raki مدرسة تعليم السياقة راقي,Auto école Raki,مدرسة تعليم السياقة راقي,education,school,,Rue d'Aït Ourir زنقة آيت ورير,33.5975775,-7.636178,+212 5 22 22 90 95,http://www.autoecoleraki.com,Mo-Sa 08:00-20:00,,,OSM,osm,https://www.openstreetmap.org/node/4441375289,0.65,False,driving_school,
osm_node_4442632420,OFPPT IMV معهد مهن الملابس درب غلف,OFPPT IMV,معهد مهن الملابس درب غلف,education,school,,,33.5700534,-7.6322612,,,,,,OSM,osm,https://www.openstreetmap.org/node/4442632420,0.65,False,school,
osm_node_4467374189,مدرسة البورقادي,,مدرسة البورقادي,education,school,,,33.5458195,-7.5707052,,,,,,OSM,osm,https://www.openstreetmap.org/node/4467374189,0.65,False,school,
osm_node_4467374190,مدرسة خفاجة,,مدرسة خفاجة,education,school,,,33.5461494,-7.5709555,,,,,,OSM,osm,https://www.openstreetmap.org/node/4467374190,0.65,False,school,
osm_node_4467479192,Groupe Scolaire Almostakbal مجموعة مدارس المستقبل,Groupe Scolaire Almostakbal,مجموعة مدارس المستقبل,education,school,,Boulevard Oued Sebou,33.5512849,-7.6816219,+212 5 22 89 49 60,,Mo-Sa,,,OSM,osm,https://www.openstreetmap.org/node/4467479192,0.65,False,school,
osm_node_4493314490,Collège abd elaziz meziane belfqih الثانوية الإعدادية عبد العزيز مزيان بلفقيه,Collège abd elaziz meziane belfqih,الثانوية الإعدادية عبد العزيز مزيان بلفقيه,education,school,,,33.54923,-7.6902309,,,,,,OSM,osm,https://www.openstreetmap.org/node/4493314490,0.65,False,school,
osm_node_4501300389,Groupe scolaire ALPHA privé مجموعة مدارس ألفا الخصوصية,Groupe scolaire ALPHA privé,مجموعة مدارس ألفا الخصوصية,education,school,,,33.5381245,-7.6715189,,,,,,OSM,osm,https://www.openstreetmap.org/node/4501300389,0.65,False,school,
osm_node_4540158389,,,,education,school,,,33.5889744,-7.5050692,,,,,,OSM,osm,https://www.openstreetmap.org/node/4540158389,0.65,False,school,
osm_node_4540359592,AEROSUP école d'ingerieurs,AEROSUP école d'ingerieurs,,education,school,,,33.598778,-7.63839,,,,,,OSM,osm,https://www.openstreetmap.org/node/4540359592,0.65,False,school,
osm_node_4549508504,,,,education,school,,,33.5898086,-7.5040854,,,,,,OSM,osm,https://www.openstreetmap.org/node/4549508504,0.65,False,school,
osm_node_4695898689,Omar el idrissi,Omar el idrissi,,education,school,,,33.5817229,-7.6074645,,,,,,OSM,osm,https://www.openstreetmap.org/node/4695898689,0.65,False,school,
osm_node_4695899089,Lycée ome l idrss,Lycée ome l idrss,,education,school,,,33.5784155,-7.6094715,,,,,,OSM,osm,https://www.openstreetmap.org/node/4695899089,0.65,False,school,
osm_node_4720321094,Groupe Scolaire Sidi Maârouf,Groupe Scolaire Sidi Maârouf,مجموعة مدارس سيدي معروف,education,school,,"lotissement Lina, Sidi Maârouf",33.520132,-7.6499859,,https://gssm.ma,,,,OSM,osm,https://www.openstreetmap.org/node/4720321094,0.65,False,school,
osm_node_4721278189,Moulay youssef,,,education,school,,,33.5491026,-7.486318,,,,,,OSM,osm,https://www.openstreetmap.org/node/4721278189,0.65,False,school,
osm_node_4730715322,IGTC,IGTC,,education,school,,,33.5362787,-7.602628,,,,,,OSM,osm,https://www.openstreetmap.org/node/4730715322,0.65,False,school,
osm_node_4731212921,Moulay youssef,,,education,school,,,33.5482409,-7.4887073,,,,,,OSM,osm,https://www.openstreetmap.org/node/4731212921,0.65,False,school,
osm_node_4790800921,مدرسة 11 يناير,,مدرسة 11 يناير,education,school,,Boulevard Ahl Loghlam,33.5991534,-7.4896328,,,,,,OSM,osm,https://www.openstreetmap.org/node/4790800921,0.65,False,school,
osm_node_4791278121,الثانوية التأهيلية مولاي يوسف,,الثانوية التأهيلية مولاي يوسف,education,school,,Boulevard Ahl Loghlam,33.5981552,-7.4896262,,,,,,OSM,osm,https://www.openstreetmap.org/node/4791278121,0.65,False,school,
osm_node_4791930921,Lycée Assala ثانوية الأصالة الخصوصية,Lycée Assala,ثانوية الأصالة الخصوصية,education,school,,,33.6110318,-7.5133749,,,,,,OSM,osm,https://www.openstreetmap.org/node/4791930921,0.65,False,school,
osm_node_4799940321,إعدادية المستقبل,,إعدادية المستقبل,education,school,,,33.5820887,-7.5598881,,,,,,OSM,osm,https://www.openstreetmap.org/node/4799940321,0.65,False,school,
osm_node_5044967325,école bachar bnou bourd مدرسة بشار ابن برد,école bachar bnou bourd,مدرسة بشار ابن برد,education,school,,,33.5438586,-7.5978074,,,,,,OSM,osm,https://www.openstreetmap.org/node/5044967325,0.65,False,school,
osm_node_5044977923,collège elhoussna إعدادية الحسنى,collège elhoussna,إعدادية الحسنى,education,school,,,33.5428908,-7.5973722,,,,,,OSM,osm,https://www.openstreetmap.org/node/5044977923,0.65,False,school,
osm_node_5128085222,20 août 1953,20 août 1953,,education,school,,,33.558312,-7.5409958,,,,,,OSM,osm,https://www.openstreetmap.org/node/5128085222,0.65,False,school,
osm_node_5242889722,El jazira الجزيرة,El jazira,الجزيرة,education,school,,,33.5505384,-7.6809761,,,,,,OSM,osm,https://www.openstreetmap.org/node/5242889722,0.65,False,school,
osm_node_5289750321,l'atomium,l'atomium,,education,school,,Boulevard Chefchaouni,33.6111572,-7.5318227,,,Mo-Su 17:00-21:30,,,OSM,osm,https://www.openstreetmap.org/node/5289750321,0.65,False,school,
osm_node_5291521523,OFPPT Sidi Moumen,,,education,university,,,33.5744758,-7.5220855,,,,,,OSM,osm,https://www.openstreetmap.org/node/5291521523,0.65,False,college,
osm_node_5337674385,Lycée abdelkarim al khattabi الثانوية التأهيلية عبد الكريم الخطابي,Lycée abdelkarim al khattabi,الثانوية التأهيلية عبد الكريم الخطابي,education,university,,,33.5925406,-7.553699,,,,,,OSM,osm,https://www.openstreetmap.org/node/5337674385,0.65,False,college,
osm_node_5422740635,TBS - Toulouse Business School,,,education,school,,,33.5351918,-7.6402596,+212 5 29 05 10 01,https://www.tbs-education.ma/,,,,OSM,osm,https://www.openstreetmap.org/node/5422740635,0.65,False,university,
osm_node_5422740637,ESIG,,,education,university,,,33.5352923,-7.6397983,,,,,,OSM,osm,https://www.openstreetmap.org/node/5422740637,0.65,False,university,
osm_node_5467116463,ZRIK,ZRIK,مؤسسة زريق لتعليم السياقة,education,school,,Wifak 3 rue 140 IM 8 NR 4 Riyad Oulfa,33.5586231,-7.6938005,+212 6 64 34 92 49,,,,,OSM,osm,https://www.openstreetmap.org/node/5467116463,0.65,False,driving_school,
osm_node_5467140344,OUM ARRABIA,,,education,school,,,33.556018,-7.6898707,,,,,,OSM,osm,https://www.openstreetmap.org/node/5467140344,0.65,False,school,
osm_node_5501090523,AL-MAQDISI cpm الثانوية التأهيلية المقدسي,AL-MAQDISI cpm,الثانوية التأهيلية المقدسي,education,school,,Avenue Abdelkader Sahraoui,33.5601109,-7.5330146,,,Mo-Sa 09:00-18:00,,,OSM,osm,https://www.openstreetmap.org/node/5501090523,0.65,False,school,
osm_node_5652867529,Establissement Al Anwar II,,,education,school,,Rue 10,33.5332148,-7.5852717,,,,,,OSM,osm,https://www.openstreetmap.org/node/5652867529,0.65,False,school,
osm_node_5657167304,Institut de Beauté,,,education,school,,Rue Tarrablous,33.5851396,-7.6185559,,,,,,OSM,osm,https://www.openstreetmap.org/node/5657167304,0.65,False,school,
osm_node_5664803143,Groupe Scolaire la Joconde Maternelle,,,education,school,,Route Haj Fateh,33.5391378,-7.6819874,,,,,,OSM,osm,https://www.openstreetmap.org/node/5664803143,0.65,False,school,
osm_node_5676138321,École Paul Bert Crèche-Maternelle-Primaire,École Paul Bert Crèche-Maternelle-Primaire,,education,school,,Route de Taddart,33.5582162,-7.6246638,+212 5 22 82 59 32,,,,,OSM,osm,https://www.openstreetmap.org/node/5676138321,0.65,False,school,
osm_node_5682584590,Groupe scolaire Badry,Groupe scolaire Badry,,education,school,,,33.5164352,-7.6675987,,,,,,OSM,osm,https://www.openstreetmap.org/node/5682584590,0.65,False,school,
osm_node_5685617258,Groupe Scolaire Moumna,,,education,school,,Boulevard Annasrine,33.5320326,-7.729665,,,,,,OSM,osm,https://www.openstreetmap.org/node/5685617258,0.65,False,school,
osm_node_5746296428,,,,education,school,,,33.5948623,-7.6167697,,,Mo-Sa 10:00-20:00,,,OSM,osm,https://www.openstreetmap.org/node/5746296428,0.65,False,school,
osm_node_5792525453,الثانوية التأهيلية عثمان بن عفان,,الثانوية التأهيلية عثمان بن عفان,education,school,,,33.6127165,-7.4899707,,,,,,OSM,osm,https://www.openstreetmap.org/node/5792525453,0.65,False,school,
osm_node_5792574353,الثانوية الإعدادية عمر بن عبد العزيز,,الثانوية الإعدادية عمر بن عبد العزيز,education,school,,,33.6130992,-7.4903195,,,Mo-Sa 08:00-18:00,,,OSM,osm,https://www.openstreetmap.org/node/5792574353,0.65,False,school,
osm_node_5792613855,مدرسة أبي عنان,,مدرسة أبي عنان,education,school,,Boulevard Imam Malik,33.6144768,-7.4896127,,,,,,OSM,osm,https://www.openstreetmap.org/node/5792613855,0.65,False,school,
osm_node_5795633855,الثانوية الإعدادية الرشيد,,الثانوية الإعدادية الرشيد,education,school,,Boulevard Ahmed Ahras,33.6038824,-7.5038842,,,,,,OSM,osm,https://www.openstreetmap.org/node/5795633855,0.65,False,school,
