id,name,name_fr,name_ar,sector,category,sub_category,address,lat,lon,phone,website,opening_hours,operator,brand,source,source_type,source_url,confidence_score,is_verified,osm_amenity,osm_shop
osm_node_485854079,Rick's Cafe,,,food,cafe,,Boulevard Sour Jdid شارع السور الجديد,33.6049697,-7.6203619,+212 5 22 27 42 07,https://www.rickscafe.ma/,,,,OSM,osm,https://www.openstreetmap.org/node/485854079,0.72,False,bar,
osm_node_516618709,La Bodega,,,food,restaurant,tapas,Rue Allal Ben Abdellah,33.5952195,-7.6115725,,https://restopro.ma/bodega,,,,OSM,osm,https://www.openstreetmap.org/node/516618709,0.72,False,restaurant,
osm_node_516618742,La Sqala,,,food,restaurant,moroccan,Boulevard des Almohades,33.6028481,-7.619212,,https://restopro.ma/sqala,,,,OSM,osm,https://www.openstreetmap.org/node/516618742,0.72,False,restaurant,
osm_node_516618748,Pizza Hut,Pizza Hut,,food,restaurant,pizza,,33.5928474,-7.597267,,,,,Pizza Hut,OSM,osm,https://www.openstreetmap.org/node/516618748,0.72,False,restaurant,
osm_node_566450742,,,,food,bar,,,33.5947799,-7.6129688,,,,,,OSM,osm,https://www.openstreetmap.org/node/566450742,0.72,False,pub,
osm_node_566450810,,,,food,restaurant,italian,,33.5896864,-7.6265742,,,,,,OSM,osm,https://www.openstreetmap.org/node/566450810,0.72,False,restaurant,
osm_node_770274905,Chez Pépé,,,food,restaurant,,,33.595533,-7.6454829,,,,,,OSM,osm,https://www.openstreetmap.org/node/770274905,0.72,False,restaurant,
osm_node_1246675535,,,,food,restaurant,,,33.5999101,-7.6174265,,,,,,OSM,osm,https://www.openstreetmap.org/node/1246675535,0.72,False,restaurant,
osm_node_1284530297,Au 19 Heure,,,food,cafe,,,33.5827625,-7.6112767,,,,,,OSM,osm,https://www.openstreetmap.org/node/1284530297,0.72,False,cafe,
osm_node_1339080540,Maeva,,,food,cafe,coffee_shop,,33.5957256,-7.5933532,,,,,,OSM,osm,https://www.openstreetmap.org/node/1339080540,0.72,False,cafe,
osm_node_1464269335,,,,food,bar,,,33.5923152,-7.5921842,,,,,,OSM,osm,https://www.openstreetmap.org/node/1464269335,0.72,False,bar,
osm_node_1464269339,,,,food,cafe,,,33.5924515,-7.5954887,,,,,,OSM,osm,https://www.openstreetmap.org/node/1464269339,0.72,False,cafe,
osm_node_1464269345,,,,food,cafe,,,33.5923666,-7.595596,,,,,,OSM,osm,https://www.openstreetmap.org/node/1464269345,0.72,False,cafe,
osm_node_1464269346,,,,food,cafe,,,33.594621,-7.5934475,,,,,,OSM,osm,https://www.openstreetmap.org/node/1464269346,0.72,False,cafe,
osm_node_1464269358,Sampione,Sampione,,food,cafe,,,33.5928563,-7.5971409,,,Mo-Su 08:00-22:00,,,OSM,osm,https://www.openstreetmap.org/node/1464269358,0.72,False,cafe,
osm_node_1464269362,,,,food,cafe,,,33.5926705,-7.5961807,,,,,,OSM,osm,https://www.openstreetmap.org/node/1464269362,0.72,False,cafe,
osm_node_1464269368,Mahboub محبوب,Mahboub,محبوب,food,fast_food,sandwich;kebab;pizza;chicken;sausage,,33.5921991,-7.5923586,,,Mo-Su 09:00-18:00,,,OSM,osm,https://www.openstreetmap.org/node/1464269368,0.72,False,fast_food,
osm_node_1464269385,Snack Essaada,Snack Essaada,,food,fast_food,international;sandwich;kebab,Boulevard Émile Zola,33.5936543,-7.5974637,,,Mo-Su 09:00-21:00,,,OSM,osm,https://www.openstreetmap.org/node/1464269385,0.72,False,fast_food,
