id,name,name_fr,name_ar,category,sub_category,sector,address,lat,lon,phone,website,opening_hours,operator,beds,source,source_url,confidence_score,osm_amenity,osm_healthcare
osm_node_530761730,,,,pharmacy,,unknown,,33.5821087,-7.6265575,,,,,,OSM,https://www.openstreetmap.org/node/530761730,0.7,pharmacy,pharmacy
osm_node_1184208721,khalid ibn oualid,,,pharmacy,,unknown,,33.6000497,-7.5450991,,,,,,OSM,https://www.openstreetmap.org/node/1184208721,0.7,pharmacy,pharmacy
osm_node_1307904337,pharmacie wifak,,,pharmacy,,unknown,,33.5598715,-7.6919901,,,,,,OSM,https://www.openstreetmap.org/node/1307904337,0.7,pharmacy,pharmacy
osm_node_1307904346,Pharmacie Ahmed,,,pharmacy,,unknown,,33.5574213,-7.6902715,,,,,,OSM,https://www.openstreetmap.org/node/1307904346,0.7,pharmacy,pharmacy
osm_node_1414740269,,,,pharmacy,,unknown,,33.5545488,-7.6399358,,,,,,OSM,https://www.openstreetmap.org/node/1414740269,0.7,pharmacy,pharmacy
osm_node_1414743905,Dalal,,,pharmacy,,unknown,Rue de Vanneaux,33.5545398,-7.6360392,,,,,,OSM,https://www.openstreetmap.org/node/1414743905,0.7,pharmacy,pharmacy
osm_node_1464276498,Pharmacie du conseil,,,pharmacy,,unknown,Boulevards Mohammed 5,33.5920672,-7.5950193,,,,,,OSM,https://www.openstreetmap.org/node/1464276498,0.7,pharmacy,pharmacy
osm_node_1464579561,,,,pharmacy,,unknown,,33.5941095,-7.5965151,,,,,,OSM,https://www.openstreetmap.org/node/1464579561,0.7,pharmacy,pharmacy
osm_node_1512083780,,,,pharmacy,,unknown,,33.5637163,-7.6355448,,,,,,OSM,https://www.openstreetmap.org/node/1512083780,0.7,pharmacy,pharmacy
osm_node_1746921493,,,,pharmacy,,unknown,,33.5959681,-7.6276825,,,,,,OSM,https://www.openstreetmap.org/node/1746921493,0.7,pharmacy,pharmacy
osm_node_2207627543,,,,pharmacy,,unknown,,33.6034834,-7.6424795,,,,,,OSM,https://www.openstreetmap.org/node/2207627543,0.7,pharmacy,pharmacy
osm_node_2382672190,Pharmacie al Adarissa,,,pharmacy,,unknown,,33.5111741,-7.6482559,,,,,,OSM,https://www.openstreetmap.org/node/2382672190,0.7,pharmacy,pharmacy
