id,name,name_fr,name_ar,sector,category,sub_category,address,lat,lon,phone,website,opening_hours,operator,brand,source,source_type,source_url,confidence_score,is_verified,osm_amenity,osm_shop
osm_node_553212547,Marjane,Marjane,,retail,supermarket,,,33.5446703,-7.639958,,,"PH,Mo-Su 09:00-22:00",,Marjane,OSM,osm,https://www.openstreetmap.org/node/553212547,0.62,False,,supermarket
osm_node_566450809,Charcuterie Amsellem,,,retail,butcher,,Rue d'Alger,33.5936337,-7.623988,,,,,,OSM,osm,https://www.openstreetmap.org/node/566450809,0.62,False,,butcher
osm_node_1246675418,,,,retail,supermarket,,,33.6004234,-7.6172703,,,,,,OSM,osm,https://www.openstreetmap.org/node/1246675418,0.62,False,,convenience
osm_node_1284530303,Agrisysteme,,,retail,garden_centre,,,33.5829681,-7.6115771,,,,,,OSM,osm,https://www.openstreetmap.org/node/1284530303,0.62,False,,garden_centre
osm_node_1423108913,,,,retail,electronics,,,33.5982688,-7.6317736,,,,,,OSM,osm,https://www.openstreetmap.org/node/1423108913,0.62,False,,computer
osm_node_1464269324,Antouki,Antouki,,retail,bakery,,,33.5937563,-7.5970471,,,,,,OSM,osm,https://www.openstreetmap.org/node/1464269324,0.62,False,,bakery
osm_node_1464269376,Amoud,,,retail,bakery,,,33.5938837,-7.596119,,,,,,OSM,osm,https://www.openstreetmap.org/node/1464269376,0.62,False,,bakery
osm_node_1464579537,Renault,,,retail,car,,,33.591978,-7.6067075,,,,,Renault,OSM,osm,https://www.openstreetmap.org/node/1464579537,0.62,False,,car
osm_node_1464579559,,,,retail,alcohol,,,33.594181,-7.5964078,,,,,,OSM,osm,https://www.openstreetmap.org/node/1464579559,0.62,False,,alcohol
osm_node_1464579573,,,,retail,kiosk,,,33.5911175,-7.5924051,,,,,,OSM,osm,https://www.openstreetmap.org/node/1464579573,0.62,False,,kiosk
osm_node_1464579577,Acima,,,retail,supermarket,,Boulevard Emile Zola,33.5945384,-7.595292,,,Mo-Su 10:00-22:00,,,OSM,osm,https://www.openstreetmap.org/node/1464579577,0.62,False,,supermarket
osm_node_1464579582,,,,retail,car,,,33.592474,-7.5995031,,,,,,OSM,osm,https://www.openstreetmap.org/node/1464579582,0.62,False,,car
osm_node_1464579587,Self Service Opéra Alcool Spiritueux,,,retail,alcohol,,Rue de Karachi,33.5930594,-7.6060557,,,,,,OSM,osm,https://www.openstreetmap.org/node/1464579587,0.62,False,,alcohol
osm_node_1746905774,,,,retail,supermarket,,,33.5966384,-7.628025,,,,,,OSM,osm,https://www.openstreetmap.org/node/1746905774,0.62,False,,convenience
osm_node_1746905778,,,,retail,supermarket,,,33.596692,-7.6297201,,,,,,OSM,osm,https://www.openstreetmap.org/node/1746905778,0.62,False,,convenience
osm_node_1746905780,,,,retail,bakery,,,33.5971969,-7.6284702,,,,,,OSM,osm,https://www.openstreetmap.org/node/1746905780,0.62,False,,bakery
osm_node_1746905781,,,,retail,supermarket,,,33.5966429,-7.6296397,,,,,,OSM,osm,https://www.openstreetmap.org/node/1746905781,0.62,False,,convenience
osm_node_1746905786,,,,retail,supermarket,,,33.5960083,-7.627848,,,,,,OSM,osm,https://www.openstreetmap.org/node/1746905786,0.62,False,,convenience
