id,name,name_fr,name_ar,sector,category,sub_category,address,lat,lon,phone,website,opening_hours,operator,brand,source,source_type,source_url,confidence_score,is_verified,osm_amenity,osm_shop
osm_node_1746921502,,,,wellness,hairdresser,,,33.5963077,-7.6282618,,,,,,OSM,osm,https://www.openstreetmap.org/node/1746921502,0.6,False,,hairdresser
osm_node_2383572052,salon younes,,,wellness,hairdresser,,,33.511482,-7.6485843,,,,,,OSM,osm,https://www.openstreetmap.org/node/2383572052,0.6,False,,hairdresser
osm_node_2714832031,Au premier,,,wellness,beauty,,,33.591351,-7.635103,,,,,,OSM,osm,https://www.openstreetmap.org/node/2714832031,0.6,False,,beauty
osm_node_2902579701,Topara,,,wellness,beauty,,,33.5727913,-7.6203653,,,,,,OSM,osm,https://www.openstreetmap.org/node/2902579701,0.6,False,,beauty
osm_node_2903251741,Au 9 Art et Beauté,,,wellness,hairdresser,,,33.5723557,-7.6573646,,,,,,OSM,osm,https://www.openstreetmap.org/node/2903251741,0.6,False,,hairdresser
osm_node_2903614168,Axe Optic,,,wellness,optician,,,33.5731871,-7.6567208,,,,,,OSM,osm,https://www.openstreetmap.org/node/2903614168,0.6,False,,optician
osm_node_2903614172,Lady Fitness,,,wellness,fitness,,,33.5734016,-7.6563561,,,,,,OSM,osm,https://www.openstreetmap.org/node/2903614172,0.6,False,,
osm_node_2903614194,Gymnasia,,,wellness,fitness,,,33.5707623,-7.6513564,,,,,,OSM,osm,https://www.openstreetmap.org/node/2903614194,0.6,False,,
osm_node_2903614195,Gola,,,wellness,optician,,,33.5707579,-7.6512491,,,,,,OSM,osm,https://www.openstreetmap.org/node/2903614195,0.6,False,,optician
osm_node_2903627414,City Club,,,wellness,fitness,,,33.5707112,-7.6262212,,,,,City Club,OSM,osm,https://www.openstreetmap.org/node/2903627414,0.6,False,,
osm_node_2903627420,Sport plus,,,wellness,fitness,,,33.5692205,-7.625784,,,,,,OSM,osm,https://www.openstreetmap.org/node/2903627420,0.6,False,,
osm_node_2935936901,Casa Sun,,,wellness,beauty,,,33.583878,-7.615435,,,,,,OSM,osm,https://www.openstreetmap.org/node/2935936901,0.6,False,,beauty
osm_node_3091356733,Angel,,,wellness,hairdresser,,Rue Ibn Yakdane,33.5879758,-7.6423673,+212 5 22 39 58 17,,,,,OSM,osm,https://www.openstreetmap.org/node/3091356733,0.6,False,,hairdresser
osm_node_3091401742,Lucie Saint Clair,,,wellness,hairdresser,,,33.5868547,-7.6411616,,,,,,OSM,osm,https://www.openstreetmap.org/node/3091401742,0.6,False,,hairdresser
osm_node_3199803561,Optique Rousseau,,,wellness,optician,,Rue Jean-Jacques Rousseau,33.5933612,-7.6242125,,,,,,OSM,osm,https://www.openstreetmap.org/node/3199803561,0.6,False,,optician
osm_node_3207894468,Cabinet de réeducation et de réadaptation physique,,,wellness,fitness,,,33.5948782,-7.6269251,,,,,,OSM,osm,https://www.openstreetmap.org/node/3207894468,0.6,False,,
osm_node_3207902461,Biocorp,,,wellness,fitness,,,33.593723,-7.6272456,,,,,,OSM,osm,https://www.openstreetmap.org/node/3207902461,0.6,False,,
osm_node_3228678354,Salon de Coiffure Monalisa,,,wellness,hairdresser,,,33.5856362,-7.5827098,,,,,,OSM,osm,https://www.openstreetmap.org/node/3228678354,0.6,False,,hairdresser
osm_node_3505973417,opticien,,,wellness,optician,,,33.5941896,-7.6184618,,,,,,OSM,osm,https://www.openstreetmap.org/node/3505973417,0.6,False,,optician
osm_node_3506012441,oscar (vente de produits de beauté),,,wellness,beauty,,,33.593873,-7.618331,,,,,,OSM,osm,https://www.openstreetmap.org/node/3506012441,0.6,False,,cosmetics
