name,prefecture,name_ascii,source,source_url
Aïn Chock,Préfecture d'arrondissement de Aïn Chock,Ain Chock,wikipedia,https://fr.wikipedia.org/wiki/Pr%C3%A9fecture_de_Casablanca
Aïn Sebaâ,Préfecture d'arrondissements de Aïn Sebaâ-Hay Mohammadi,Ain Sebaa,wikipedia,https://fr.wikipedia.org/wiki/Pr%C3%A9fecture_de_Casablanca
Hay Mohammadi,Préfecture d'arrondissements de Aïn Sebaâ-Hay Mohammadi,Hay Mohammadi,wikipedia,https://fr.wikipedia.org/wiki/Pr%C3%A9fecture_de_Casablanca
Roches Noires,Préfecture d'arrondissements de Aïn Sebaâ-Hay Mohammadi,Roches Noires,wikipedia,https://fr.wikipedia.org/wiki/Pr%C3%A9fecture_de_Casablanca
Al Fida,Préfecture d'arrondissements d'Al Fida-Mers Sultan,Al Fida,wikipedia,https://fr.wikipedia.org/wiki/Pr%C3%A9fecture_de_Casablanca
Mers Sultan,Préfecture d'arrondissements d'Al Fida-Mers Sultan,Mers Sultan,wikipedia,https://fr.wikipedia.org/wiki/Pr%C3%A9fecture_de_Casablanca
Ben M'sick,Préfecture d'arrondissements de Ben M'sick,Ben M'sick,wikipedia,https://fr.wikipedia.org/wiki/Pr%C3%A9fecture_de_Casablanca
Sbata,Préfecture d'arrondissements de Ben M'sick,Sbata,wikipedia,https://fr.wikipedia.org/wiki/Pr%C3%A9fecture_de_Casablanca
Anfa,Préfecture d'arrondissements de Casablanca-Anfa,Anfa,wikipedia,https://fr.wikipedia.org/wiki/Pr%C3%A9fecture_de_Casablanca
Maârif,Préfecture d'arrondissements de Casablanca-Anfa,Maarif,wikipedia,https://fr.wikipedia.org/wiki/Pr%C3%A9fecture_de_Casablanca
Sidi Belyout,Préfecture d'arrondissements de Casablanca-Anfa,Sidi Belyout,wikipedia,https://fr.wikipedia.org/wiki/Pr%C3%A9fecture_de_Casablanca
Hay Hassani,Préfecture d'arrondissements de Hay Hassani,Hay Hassani,wikipedia,https://fr.wikipedia.org/wiki/Pr%C3%A9fecture_de_Casablanca
Moulay Rachid,Préfecture d'arrondissement de Moulay Rachid,Moulay Rachid,wikipedia,https://fr.wikipedia.org/wiki/Pr%C3%A9fecture_de_Casablanca
Sidi Othmane,Préfecture d'arrondissement de Moulay Rachid,Sidi Othmane,wikipedia,https://fr.wikipedia.org/wiki/Pr%C3%A9fecture_de_Casablanca
Sidi Bernoussi,Préfecture d'arrondissements de Sidi Bernoussi,Sidi Bernoussi,wikipedia,https://fr.wikipedia.org/wiki/Pr%C3%A9fecture_de_Casablanca
Sidi Moumen,Préfecture d'arrondissements de Sidi Bernoussi,Sidi Moumen,wikipedia,https://fr.wikipedia.org/wiki/Pr%C3%A9fecture_de_Casablanca
